Year,ctest,cpop,cedu_g,utest,upop,uedu_g,rtest,rpop,redu_g
1960,0,667070000,0,49,181000000,0,16,180671000,0
1961,0,660330000,0,11,184000000,0,36,183691000,0
1962,0,665770000,0,96,187000000,0,12,186538000,0
1963,0,682335000,0,47,189000000,0,72,189242000,0
1964,1,698355000,0,45,192000000,0,79,191889000,0
1965,1,715185000,0,38,194000000,0,13,194303000,0
1966,3,735400000,0,48,197000000,0,9,196560000,0
1967,2,754550000,0,42,199000000,0,17,198712000,0
1968,1,774510000,0,56,201000000,0,18,200706000,0
1969,2,796025000,0,46,203000000,0,22,202677000,0
1970,1,818315000,107.0421677,39,205000000,0,18,205052000,104.5928497
1971,1,841105000,106.3358307,24,208000000,88.86087799,24,207661000,101.4346619
1972,2,862030000,108.0415115,27,210000000,88.42179871,20,209896000,99.95527649
1973,1,881940000,115.4007492,24,212000000,90.70704651,24,211909000,98.99649811
1974,1,900350000,119.1142426,22,214000000,89.81607819,25,213854000,98.96061707
1975,1,916395000,121.4987564,22,216000000,89.61621094,19,215973000,99.99154663
1976,4,930685000,121.5533981,20,218000000,90.44184875,22,218035000,101.931633
1977,1,943455000,116.5009689,20,220000000,90.65788269,21,220239000,104.3071823
1978,3,956165000,110.6123276,19,223000000,91.07348633,21,222585000,105.7189026
1979,1,969005000,109.2433014,15,225000000,90.61624908,28,225055000,105.7952805
1980,1,981235000,109.719368,14,227000000,98.91104889,31,227225000,102.9778366
1981,0,993885000,111.1699905,16,229000000,98.63179779,32,229466000,102.438179
1982,1,1008630000,110.754158,18,232000000,100.4816208,25,231664000,101.736908
1983,2,1023310000,110.7784119,18,234000000,99.03450775,23,233792000,102.1793823
1984,2,1036825000,111.5861969,18,236000000,97.8936615,19,235825000,103.712822
1985,0,1051040000,116.6951828,17,238000000,98.23293304,29,237924000,104.9669037
1986,0,1066790000,121.48349,14,240000000,99.90113068,29,240133000,107.6429977
1987,1,1084035000,126.1507111,14,242000000,101.1736908,10,242289000,108.6110535
1988,1,1101630000,128.0993958,15,244000000,0,0,244499000,108.0044098
1989,0,1118650000,128.4742126,11,247000000,0,27,246819000,107.9911194
1990,2,1135185000,127.5487823,8,250000000,106.0332336,16,249623000,110.3398438
1991,0,1150780000,124.3763809,7,253000000,105.328598,9,252981000,110.4413605
1992,2,1164970000,121.7244873,6,257000000,0,1,256514000,109.4814301
1993,2,1178440000,118.3772278,0,260000000,103.8992767,0,259919000,107.1764679
1994,2,1191835000,114.9444885,0,263000000,103.1154785,0,263126000,107.8706512
1995,3,1204855000,111.7638168,0,266000000,104.1064072,0,266278000,108.4834595
1996,2,1217550000,108.0741577,0,269000000,103.5598297,0,269394000,106.3218002
1997,0,1230075000,105.5070877,2,273000000,0,1,272657000,103.7480164
1998,0,1241935000,105.769371,3,276000000,102.5620422,0,275854000,102.9470978
1999,1,1252735000,0,3,279000000,101.9308319,0,279040000,102.79093
2000,0,1262645000,0,5,282000000,100.72996,5,282162411,106.08295
2001,4,1271850000,112.34159,2,285000000,101.32613,7,284968955,113.94554
2002,0,1280400000,0,3,288000000,99.8794,5,287625193,121.05115
2003,0,1288400000,0,2,290000000,101.11396,0,290107933,0
2004,0,1288400000,0,0,293000000,101.24966,0,292805298,95.22629
2005,0,1288400000,0,0,296000000,101.87402,0,295516599,94.99946
2006,0,1296075000,100.99328,1,298000000,102.20104,0,298379912,95.68133
2007,0,1296075000,100.70705,0,301000000,103.09321,0,301231207,97.58452
2008,0,1296075000,100.74244,0,304000000,103.23487,0,304093966,99.36153
2009,0,1303720000,100.0061,0,307000000,102.21191,0,306771529,0
2010,0,1303720000,98.96422,0,309000000,100.3335,0,309326085,101.0762
2011,0,1303721000,99.04702,0,312000000,99.38988,0,311580009,101.0206
2012,0,1303730000,99.7911,0,314000000,99.16532,0,313874218,99.76958
2013,0,1311020000,99.5646,0,316000000,99.45544,0,316057727,97.69432
2014,0,1311025000,95.79643,0,318000000,99.67338,0,318386421,99.07291
2015,0,1311020000,96.3186,0,321000000,100.2999,0,320742673,99.81439
2016,0,1317885000,97.96192,0,323000000,101.3629,0,323071342,102.5825
2017,0,1324655000,99.40481,0,325000000,101.8214,0,325147121,0
